Date,Bitcoin_Price,ahr999,Cash_Holdings,Bitcoin_Quantity,Action,Operation_Amount,Portfolio_Value
2023-10-29,34528.5,0.682,10000.0,0.00425,Buy,146.7,10146.7
2023-10-30,34483.8,0.679,10000.0,0.00852,Buy,147.3,10293.8
2023-10-31,34651.3,0.684,10000.0,0.01274,Buy,146.2,10441.4
2023-11-01,35437.5,0.714,10000.0,0.01669,Buy,140.0,10591.4
2023-11-02,34940.0,0.693,10000.0,0.02082,Buy,144.3,10727.4
2023-11-03,34700.5,0.682,10000.0,0.02504,Buy,146.6,10869.0
2023-11-04,35069.6,0.696,10000.0,0.02914,Buy,143.8,11022.0
2023-11-05,35025.6,0.692,10000.0,0.03327,Buy,144.4,11165.1
2023-11-06,35057.5,0.692,10000.0,0.03739,Buy,144.5,11310.7
2023-11-07,35406.5,0.704,10000.0,0.0414,Buy,142.0,11465.7
2023-11-08,35633.0,0.712,10000.0,0.04534,Buy,140.5,11615.6
2023-11-09,36719.5,0.754,10000.0,0.04895,Buy,132.7,11797.5
2023-11-10,37330.3,0.777,10000.0,0.0524,Buy,128.7,11956.1
2023-11-11,37162.0,0.768,10000.0,0.0559,Buy,130.2,12077.5
2023-11-12,37088.0,0.764,10000.0,0.05943,Buy,131.0,12204.3
2023-11-13,36486.2,0.737,10000.0,0.06315,Buy,135.6,12304.2
2023-11-14,35560.7,0.699,10000.0,0.06717,Buy,143.1,12388.8
2023-11-15,37885.6,0.792,10000.0,0.07051,Buy,126.3,12671.3
2023-11-16,36176.0,0.72,10000.0,0.07435,Buy,138.9,12689.6
2023-11-17,36621.9,0.736,10000.0,0.07806,Buy,135.9,12858.6
2023-11-18,36580.9,0.733,10000.0,0.08179,Buy,136.5,12991.9
2023-11-19,37375.8,0.763,10000.0,0.08529,Buy,131.0,13187.9
2023-11-20,37462.5,0.765,10000.0,0.08878,Buy,130.7,13326.1
2023-11-21,35730.2,0.694,10000.0,0.09281,Buy,144.0,13316.3
2023-11-22,37413.4,0.76,10000.0,0.09633,Buy,131.7,13604.2
2023-11-23,37294.4,0.753,10000.0,0.0999,Buy,132.8,13725.5
2023-11-24,37706.3,0.768,10000.0,0.10335,Buy,130.3,13897.0
2023-11-25,37766.6,0.768,10000.0,0.1068,Buy,130.2,14033.4
2023-11-26,37437.9,0.753,10000.0,0.11035,Buy,132.9,14131.2
2023-11-27,37234.4,0.742,10000.0,0.11396,Buy,134.7,14243.4
2023-11-28,37812.1,0.764,10000.0,0.11743,Buy,131.0,14440.2
2023-11-29,37837.1,0.762,10000.0,0.1209,Buy,131.2,14574.3
2023-11-30,37716.8,0.756,10000.0,0.1244,Buy,132.4,14692.1
2023-12-01,38660.9,0.792,10000.0,0.12767,Buy,126.3,14935.9
2023-12-02,39436.6,0.821,10000.0,0.13076,Buy,121.8,15156.7
2023-12-03,39979.8,0.841,10000.0,0.13373,Buy,118.8,15346.6
2023-12-04,41993.0,0.925,10000.0,0.13631,Buy,108.1,15723.9
2023-12-05,44081.6,1.016,10000.0,0.13854,Buy,98.4,16107.0
2023-12-06,43772.2,0.998,10000.0,0.14083,Buy,100.2,16164.3
2023-12-07,43296.0,0.973,10000.0,0.1432,Buy,102.7,16200.0
2023-12-08,44209.6,1.011,10000.0,0.14544,Buy,98.9,16429.7
2023-12-09,43734.4,0.986,10000.0,0.14776,Buy,101.4,16462.0
2023-12-10,43810.1,0.986,10000.0,0.15007,Buy,101.4,16574.6
2023-12-11,41271.0,0.872,10000.0,0.15285,Buy,114.7,16308.2
2023-12-12,41514.9,0.88,10000.0,0.15559,Buy,113.7,16459.2
2023-12-13,42874.9,0.935,10000.0,0.15808,Buy,106.9,16777.8
2023-12-14,43032.4,0.939,10000.0,0.16056,Buy,106.5,16909.2
2023-12-15,41968.0,0.89,10000.0,0.16323,Buy,112.3,16850.6
2023-12-16,42287.4,0.901,10000.0,0.16586,Buy,111.0,17013.7
2023-12-17,41398.7,0.861,10000.0,0.16867,Buy,116.2,16982.5
2023-12-18,42671.8,0.911,10000.0,0.17124,Buy,109.7,17307.0
2023-12-19,42298.2,0.892,10000.0,0.17389,Buy,112.0,17355.1
2023-12-20,43711.0,0.95,10000.0,0.17629,Buy,105.3,17706.0
2023-12-21,43896.3,0.954,10000.0,0.17868,Buy,104.8,17843.5
2023-12-22,44008.6,0.956,10000.0,0.18106,Buy,104.6,17968.1
2023-12-23,43724.2,0.94,10000.0,0.18349,Buy,106.4,18023.0
2023-12-24,43008.3,0.906,10000.0,0.18606,Buy,110.3,18002.0
2023-12-25,43612.0,0.929,10000.0,0.18853,Buy,107.7,18222.0
2023-12-26,42538.6,0.88,10000.0,0.19119,Buy,113.6,18133.2
2023-12-27,43453.8,0.915,10000.0,0.19371,Buy,109.2,18417.4
2023-12-28,42605.0,0.877,10000.0,0.19639,Buy,114.0,18367.0
2023-12-29,42090.9,0.853,10000.0,0.19917,Buy,117.2,18383.3
2023-12-30,42174.2,0.853,10000.0,0.20195,Buy,117.2,18517.1
2023-12-31,42313.9,0.856,10000.0,0.20471,Buy,116.8,18662.1
2024-01-01,44230.3,0.932,10000.0,0.20714,Buy,107.4,19161.8
2024-01-02,44981.3,0.96,10000.0,0.20945,Buy,104.2,19421.5
2024-01-03,42826.7,0.867,10000.0,0.21215,Buy,115.3,19085.6
2024-01-04,44170.4,0.919,10000.0,0.21461,Buy,108.8,19479.4
2024-01-05,44148.9,0.915,10000.0,0.21709,Buy,109.3,19584.1
2024-01-06,43956.7,0.904,10000.0,0.2196,Buy,110.6,19653.0
2024-01-07,43912.3,0.9,10000.0,0.22213,Buy,111.1,19754.4
2024-01-08,46990.0,1.027,10000.0,0.22421,Buy,97.4,20535.4
2024-01-09,46110.0,0.986,10000.0,0.22641,Buy,101.5,20439.6
2024-01-10,46663.0,1.006,10000.0,0.22854,Buy,99.4,20664.2
